id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
1175360.0,Delhi,2019-03-26,SR Watson,venue,0,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,runs,6.0,N,,M Erasmus,Nitin Menon
1175361.0,Kolkata,2019-03-27,AD Russell,venue,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,runs,28.0,N,,AK Chaudhary,AK Chaudhary
1175362.0,Bengaluru,2019-03-28,JJ Bumrah,venue,0,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,runs,6.0,N,,CK Nandan,S Ravi
1175363.0,Hyderabad,2019-03-29,Rashid Khan,venue,0,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,runs,5.0,N,,BNJ Oxenford,BNJ Oxenford
1175364.0,Delhi,2019-03-30,PP Shaw,venue,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,,runs,8.0,N,,AY Dandekar,CB Gaffaney
1175365.0,Chandigarh,2019-03-30,MA Agarwal,venue,0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,runs,,Y,,CB Gaffaney,Nitin Menon
1175366.0,Hyderabad,2019-03-31,JM Bairstow,venue,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,118.0,N,,KN Ananthapadmanabhan,S Ravi
1175367.0,Chennai,2019-03-31,MS Dhoni,venue,0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,8.0,N,,CK Nandan,CK Nandan
1175368.0,Chandigarh,2019-04-01,SM Curran,venue,0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,runs,14.0,N,,AK Chaudhary,AK Chaudhary
1175369.0,Jaipur,2019-04-02,S Gopal,venue,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,7.0,N,,AY Dandekar,M Erasmus
1175370.0,Mumbai,2019-04-03,HH Pandya,venue,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,37.0,N,,BNJ Oxenford,BNJ Oxenford
1175371.0,Delhi,2019-04-04,JM Bairstow,venue,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,runs,5.0,N,,C Shamshuddin,C Shamshuddin
1175372.0,Bengaluru,2019-04-05,AD Russell,venue,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,5.0,N,,AK Chaudhary,AK Chaudhary
1178393.0,Chennai,2019-04-06,Harbhajan Singh,venue,0,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,22.0,N,,KN Ananthapadmanabhan,RJ Tucker
1178394.0,Hyderabad,2019-04-06,AS Joseph,venue,0,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,runs,40.0,N,,AY Dandekar,Nitin Menon
1178395.0,Bengaluru,2019-04-07,K Rabada,venue,0,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,runs,4.0,N,,S Ravi,S Ravi
1178396.0,Jaipur,2019-04-07,HF Gurney,venue,0,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,8.0,N,,AK Chaudhary,AK Chaudhary
1178397.0,Chandigarh,2019-04-08,KL Rahul,venue,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,runs,6.0,N,,AY Dandekar,M Erasmus
1178398.0,Chennai,2019-04-09,DL Chahar,venue,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,runs,7.0,N,,C Shamshuddin,C Shamshuddin
1178399.0,Mumbai,2019-04-10,KA Pollard,venue,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,runs,3.0,N,,S Ravi,S Ravi
1178400.0,Jaipur,2019-04-11,MS Dhoni,venue,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,runs,4.0,N,,BNJ Oxenford,BNJ Oxenford
