player,runs,wickets,strike_rate,score
BA Stokes,316.0,18.0,139.20704845814979,639.6
AM Rahane,862.0,0.0,120.55944055944056,517.1999999999999
SPD Smith,742.0,0.0,127.27272727272727,445.2
JD Unadkat,2.0,17.0,40.0,426.2
MS Dhoni,574.0,0.0,119.33471933471932,344.4
Washington Sundar,9.0,13.0,75.0,330.4
R Bhatia,50.0,12.0,135.13513513513513,330.0
Imran Tahir,0.0,13.0,0.0,325.0
NLTC Perera,150.0,9.0,154.63917525773198,315.0
AB Dinda,7.0,11.0,87.5,279.2
SN Thakur,0.0,10.0,0.0,250.0
