batsman,runs_scored,balls_faced,strike_rate
V Kohli,7191,5645,127.38706820194862
S Dhawan,6544,5278,123.98635846911709
DA Warner,6372,4671,136.41618497109826
RG Sharma,6157,4821,127.71209292677868
SK Raina,5522,4164,132.61287223823246
AB de Villiers,5163,3473,148.66109991361935
MS Dhoni,5066,3845,131.7555266579974
CH Gayle,4996,3507,142.45794126033647
RV Uthappa,4941,3912,126.30368098159511
KD Karthik,4500,3478,129.38470385278896
